url	acm	aide	al	and	appliquée	armée	automatique	axe	baptiste	compétitions	congo	cyclisme	distributions	détaillé	espagne	fenêtre	france	hiérarchique	interaction	japanese	jour	kamer	lignes	louvois	marguerite	mesure	montpellier	métrique	nement	new	nœud	police	positionnement	probabilités	province	relativité	rois	romain	régression	scalaires	spectral	stables	statistiques	styles	union	université	utrecht	valeurs	variable	événement
Analyse_de_donn%C3%A9es	9	9	8	9	8	0	8	9	0	0	0	0	0	8	0	0	8	9	0	0	0	0	9	0	0	9	0	9	0	0	0	0	8	9	0	0	0	0	9	0	0	0	9	0	0	9	0	9	8	0
Classification_automatique	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Statistiques	0	1	0	1	3	0	1	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	21	0	0	0	0	3	0	0	0	46	0	0	0	0	6	4	0
%23Autres_m.C3.A9thodes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%23Classification_hi.C3.A9rarchique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%23D.C3.A9finition	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%23Classification_.C2.AB.C3.A0_plat.C2.BB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%23R.C3.A9gressions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%23Analyse_des_donn.C3.A9es_et_r.C3.A9gressions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%23Analyse_par_r.C3.A9duction_des_dimensions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
